district_no,district_name,ac_no,ac_name,polling_stations,male,female,third_gender,total
26,Sibsagar,97,Nazira,233,88645,93549,2,182196
27,Majuli,98,Majuli (ST),188,73545,71292,0,144837
28,Jorhat,99,Teok,249,96485,101479,0,197964
28,Jorhat,100,Jorhat,182,70897,77382,1,148280
28,Jorhat,101,Mariani,210,80156,84832,1,164989
28,Jorhat,102,Titabor,245,96801,103713,0,200514
29,Golaghat,103,Golaghat,268,99458,101927,2,201387
29,Golaghat,104,Dergaon,235,87114,90415,0,177529
29,Golaghat,105,Bokakhat,212,79952,84695,1,164648
29,Golaghat,106,Khumtai,230,84124,87568,5,171697
29,Golaghat,107,Sarupathar,213,94114,93280,2,187396
30,Karbi Anglong,108,Bokajan (ST),214,78054,79187,0,157241
30,Karbi Anglong,109,Howraghat (ST),239,93420,96191,5,189616
30,Karbi Anglong,110,Diphu (ST),237,89691,92439,9,182139
31,West Karbi,111,Rongkhang (ST),193,66358,65499,1,131858
31,West Karbi Anglong,112,Amri (ST),165,49919,50178,0,100097
32,Dima Hasao,113,Haflong (ST),261,78279,79925,0,158204
33,Cachar,114,Lakhipur,222,87611,89597,1,177209
33,Cachar,115,Udharbond,231,91303,93564,1,184868
33,Cachar,116,Katigorah,281,108454,104776,1,213231
33,Cachar,117,Borkhola,258,103938,100783,2,204723
33,Cachar,118,Silchar,257,103040,108493,5,211538
33,Cachar,119,Sonai,244,98370,96178,3,194551
33,Cachar,120,Dholai (SC),239,98891,96892,0,195783
34,Hailakandi,121,Hailakandi,284,112704,107357,0,220061
34,Hailakandi,122,Algapur-Katlicherra,339,144957,131942,2,276901
35,Sribhumi,123,Karimganj North,326,132442,127201,1,259644
35,Sribhumi,124,Karimganj South,356,147904,136501,3,284408
35,Sribhumi,125,Patharkandi,228,91421,88776,4,180201
35,Sribhumi,126,Ram Krishna Nagar (SC),277,110669,105723,4,216396
